title,balance,category,price
AGRICULTURAL METEOROLOGY RAO,10,Transportation,1575
"ANALYTICAL&INSTRUMENTAL TECHNIQUES IN AGRICULTURE, 2/E NAG A.",0,STO,750
FARM MACHINERY SINGH,8,ENI,755
"IRRIGATION WATER MANAGEMENT: PRINCIPLES & PRACTICE,2/E MAJUMDAR",0,,2385
LIVESTOCK PRODUCTION MANAGEMENT GHOSH,0,IND,2750
Meseretawi Yeamarigna Quanqua Memaria G3-4,0,GEN,144
Atekalay Amaregna Agajz G1-4,0,PSY,885
YeAmargna Memaria Agaz Metshaf G1-4,0,ENI,825
Zemenawi YeAmargna Quwanquwa G7-10,0,PHY,1125
Adisu Yeamaregna Felitawi Anegageroch,0,LIT,445
Zemenawi YeAmaregna Quwanquwa Memeria G5-6,0,FIC,80
Meseretawi Ye Amargna Quanqua memaria Agaz Metehaf G5-8,0,MGT,1320
Mert Yeamargna Felitawi Anegagerochena Fechewochachew,0,PHY,520
Adisu Yeamaregna Qine Kenefechachew,0,mis,1485
Amaregna Hulu Lehulu (Kemelestegna-College),0,BUS,1180
Sene Tsehufawi Mudaye-Qalate Kenmaberariyachew,1,MGT,1085
Extreme Amaregna G9-12 - Nuru Ibrahim,0,ENI,1275
Yekefetgna Temeheret Zeybe,0,DIC,325
Besal Derset Mastemareya,0,MGT,1275
Sebeseb,16,LAW,67
Qeneeyawi Yeeweqet Fetera,1,LAW,2130
Galaxy Amaregna Quwanquwa Leatsede Hisanat Metsehaf 1,34,MGT,825
Alpha Problem Solver Series Amharegna 9-10,0,HIS,120
Bahere Qemer Sewasew Qemer Huletegna,0,MAT,1185
Galaxy Amaregna Quwanquwa G9-10,0,BUS,750
Yetewnet Derset Atsatsaf Zedewoch,0,ENG,54
YeAmharegna Quwanqa Temehert Memariya K 5-8,0,ENG,75
YeSentsehuf Meseretawiyan,0,MGT,1830
Anbebo Yemeredatena Yemetsaf Chelotan Madaber,0,COM,1350
Yemeremer Mesrtwi Merehowocena Ategebaber,5,MGT,1275
Ateqalay YeaAmaregna Qwanqwa Temehert Memerya G7-10,49,ENI,975
YeKene Tsihefet Gize YeFidelat Aqemamet,0,Statistics,820
Galaxy Amaregna Leatsede Hetsanat Mtsehaf 2,0,ENI,885
Adisu Yeamaregna Quwanquwa G5-8,0,ENI,1575
Galaxy Amaregna Leatsede Hetsanat Mtsehaf 3,0,ACC,1275
Acherena Qlal Yeamaregna Sewasew,55,ENI,710
Adisu Yemesaleyawi Anegagroch Metsehaf,0,ECO,1275
Meseretawi Yeamaregna Quwanquwa Memaria G1-4,0,GEO,675
Ateqalay Amaregna Agaz G1-4,0,CIV,85
Top Yeamaregna Temehirt Agaz G5-8,15,CHE,500
Kuraz Amaregna G9-10,0,ENI,1185
Zemenawi Yeamaregna Metsehaf Metsehaf 2 G1-4,0,EDU,175
Amaregna Text G 10,0,COM,1785
Amaregna Text G 11,0,MGT,510
Amaregna Text G9,0,HIS,85
